date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:28:01	6246/6246	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2014:26:21%20GMT	https://justfall.lol/	C:/Users/MainUser/Downloads/just-fall/just-fall/justfall.lol/index.html	(from )
06:28:01	10712/10712	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2014%20May%202024%2011:28:07%20GMT	https://justfall.lol/robots.txt		(from )
06:28:01	158/158	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2027%20Nov%202023%2014:26:21%20GMT	https://justfall.lol/googleanalytics.js	C:/Users/MainUser/Downloads/just-fall/just-fall/justfall.lol/googleanalytics.js	(from https://justfall.lol/)
06:28:02	659/659	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2027%20Nov%202023%2014:26:21%20GMT	https://justfall.lol/mobileRedirect.js	C:/Users/MainUser/Downloads/just-fall/just-fall/justfall.lol/mobileRedirect.js	(from https://justfall.lol/)
06:28:02	2667/2667	---MCZ	200	added ('OK')	image/png	date:Mon,%2027%20Nov%202023%2014:26:21%20GMT	https://justfall.lol/favicon.png	C:/Users/MainUser/Downloads/just-fall/just-fall/justfall.lol/favicon.png	(from https://justfall.lol/)
06:28:02	3302/3302	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20Nov%202023%2014:26:21%20GMT	https://justfall.lol/style.css	C:/Users/MainUser/Downloads/just-fall/just-fall/justfall.lol/style.css	(from https://justfall.lol/)
06:28:02	5138/5138	---M-Z	200	added ('OK')	application/x-javascript	etag:0x8DB67F863DBCFBC	https://cdn.cookielaw.org/consent/e7088ae2-2d9c-4a5b-a7c8-bb9426e581dc/OtAutoBlock.js	C:/Users/MainUser/Downloads/just-fall/just-fall/cdn.cookielaw.org/consent/e7088ae2-2d9c-4a5b-a7c8-bb9426e581dc/OtAutoBlock.js	(from https://justfall.lol/)
06:28:02	21230/21230	---M-Z	200	added ('OK')	application/javascript	etag:0x8DC72F0F65BBA2A	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/Users/MainUser/Downloads/just-fall/just-fall/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://justfall.lol/)
06:28:03	1820/1820	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2027%20Nov%202023%2014:26:21%20GMT	https://justfall.lol/fullscreen.js	C:/Users/MainUser/Downloads/just-fall/just-fall/justfall.lol/fullscreen.js	(from https://justfall.lol/)
06:28:03	159436/159436	---MCZ	200	added ('OK')	application/javascript	etag:W/%22061f463856577255fb5eefaf73e67127%22	https://justbuild.nyc3.cdn.digitaloceanspaces.com/CI/JustFall/Prod/67/Build/UnityLoader.js	C:/Users/MainUser/Downloads/just-fall/just-fall/justbuild.nyc3.cdn.digitaloceanspaces.com/CI/JustFall/Prod/67/Build/UnityLoader.js	(from https://justfall.lol/)
06:28:03	2275/2275	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2027%20Nov%202023%2014:26:21%20GMT	https://justfall.lol/js/cpmstar.js	C:/Users/MainUser/Downloads/just-fall/just-fall/justfall.lol/js/cpmstar.js	(from https://justfall.lol/)
06:28:04	230434/230434	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2027%20Nov%202023%2014:26:21%20GMT	https://justfall.lol/splash.jpg	C:/Users/MainUser/Downloads/just-fall/just-fall/justfall.lol/splash.jpg	(from https://justfall.lol/style.css)
